code,open,high,low,close,volume,거래대금,등락률,시가총액,foreign_net,inst_net,date
009520,15630,16280,15450,16240,500399,7974118050,6.07,676277496720,387139140.0,447047725.0,20251103
189690,2075,2100,2055,2070,145396,300445745,0.0,56556475830,-16308080.0,,20251103
318020,4025,4025,3760,3890,28323,110132240,-4.19,49256238080,-717410.0,20165.0,20251103
256630,1119,1134,1109,1114,22285,24932468,-0.36,64608738208,-401338.0,-4512747.0,20251103
331380,1993,1993,1801,1820,125384,230007157,-4.81,44116505160,-41012438.0,,20251103
208710,2635,2800,2635,2645,106536,284626805,-1.86,34861449140,71175180.0,0.0,20251103
472850,8230,8550,8070,8360,69269,580251250,2.83,270395279880,-38544080.0,-11077425.0,20251103
039980,2350,2455,2345,2395,2016834,4866476740,3.68,174305168520,381054389.0,,20251103
041910,6420,6540,6250,6400,87776,564999365,-0.31,86410284800,-32583960.0,-133150.0,20251103
234100,1186,1188,1141,1145,482259,560410256,-3.21,80345282040,6199436.0,,20251103
041020,5190,5370,5190,5250,733583,3886230165,2.34,261058864500,804919880.0,421909105.0,20251103
114630,485,487,471,483,146038,69712551,-0.41,42478665684,-249238.0,-4660978.0,20251103
290720,2030,2190,2000,2045,30188,61247812,0.74,70280218475,571303.0,,20251103
005670,8470,8470,8010,8100,197113,1606893985,-3.8,81000000000,347749585.0,-93784720.0,20251103
094940,8670,8950,8620,8850,459869,4055347925,3.15,73998266100,-251479830.0,8820.0,20251103
057880,0,0,0,8790,0,0,0.0,216061434720,,,20251103
007330,10120,10120,10000,10000,26970,270584480,-1.19,150828000000,-80437980.0,59803410.0,20251103
093380,2995,3040,2975,3030,7562,22768340,0.66,29934318390,-382355.0,-837440.0,20251103
023900,9350,9410,9250,9300,21226,196933120,-0.53,117180000000,16916310.0,-17324680.0,20251103
371950,10080,10300,9980,10010,32121,322990210,-0.69,226852105480,-59904310.0,40.0,20251103
370090,14430,14440,14010,14180,91390,1297659075,4.19,121335849400,-41172470.0,14981150.0,20251103
445180,7810,7880,7670,7750,62624,486720680,-0.51,133216207000,55947710.0,-38110.0,20251103
151910,0,0,0,640,0,0,0.0,121645902080,,,20251103
220100,19640,19640,18870,19230,398763,7624185940,-2.14,425024440650,-2283132195.0,-102016070.0,20251103
035200,3545,3590,3490,3500,40794,143496970,-2.23,34057065000,-42624675.0,,20251103
334970,3030,3100,2965,3000,144941,433685175,-0.5,233257911000,-15930875.0,-9973350.0,20251103
321260,2045,2175,2015,2090,226046,474415421,4.24,58921455560,74648614.0,,20251103
053610,31400,31400,30500,31050,28166,872226900,-0.8,341550000000,156414350.0,100635550.0,20251103
468530,65000,71100,64000,68900,1004699,67932026600,8.68,749080179900,2711131250.0,1437739700.0,20251103
303360,4570,4570,4165,4230,128406,550235845,-6.52,54470619450,-95428385.0,934475.0,20251103
377220,1484,1484,1394,1412,298141,424479073,-4.85,39973720000,-78558177.0,1420.0,20251103
335810,2520,3275,2520,2900,1270741,3955910553,15.08,33682125400,-10354678.0,-1626235.0,20251103
053160,7630,7870,7560,7560,24664,187774995,-1.69,45360000000,3770805.0,7750.0,20251103
405000,8350,8490,7800,7950,2740,21964750,-4.79,30515629800,331190.0,,20251103
041590,0,0,0,2370,0,0,0.0,116064014460,,,20251103
367000,4510,4665,4450,4550,12241,55862495,0.89,38166341850,1712920.0,,20251103
075130,2515,2535,2465,2480,77192,193037745,-1.2,41223353600,-61333840.0,,20251103
237820,4790,4820,4700,4700,21151,100056630,-1.26,60287558000,-11664905.0,,20251103
023770,4210,4410,4080,4225,65116,273048120,0.48,37798941375,39376855.0,,20251103
019570,287,287,281,282,144589,41102820,-0.7,18925031844,-5074384.0,,20251103
300080,16490,16770,15780,15930,267837,4327760485,-0.56,262931834430,-53832380.0,445673870.0,20251103
033790,3920,3940,3720,3830,221882,852186490,-1.29,260582939430,-45874580.0,,20251103
032580,1210,1217,1165,1166,640343,755200049,-3.64,38631986624,59351425.0,,20251103
051380,2185,2185,2120,2120,59186,126630937,-2.53,32520952640,-28327282.0,5.0,20251103
241820,0,0,0,6040,0,0,0.0,16803871920,,,20251103
452450,8410,9650,8350,8880,8977513,82174705955,6.86,318601080000,6959284815.0,72759430.0,20251103
237750,4705,4715,4555,4665,30377,140585760,-0.85,30306639000,-7258032.0,85.0,20251103
460940,22150,22550,21200,21700,863275,18917427350,1.88,142476558000,281716375.0,-423900.0,20251103
319660,37500,37950,36550,37850,307818,11482996775,0.26,1096390124900,1836848250.0,-1042435550.0,20251103
